,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
69,Denver Pioneers,13,6,7,0.462,-6.64,6.06,,,,,4,2,,2,5,,1091,1110,,69.7,120.4,0.361,0.388,0.6,49.6,40.6,6.6,5.5,0.568,13.4,32.5,0.271
70,DePaul Blue Demons,12,8,4,0.667,4.54,-3.13,,0,1,,6,2,,1,1,,917,825,,70.1,109,0.429,0.402,0.559,49.5,66,10.5,8.4,0.522,14.9,29.4,0.302
71,Detroit Mercy Titans,11,4,7,0.364,-11.89,-2.79,,2,1,,2,1,,2,6,,819,872,,71,104.9,0.311,0.347,0.505,50.5,49,7.8,8.3,0.462,13,34,0.235
72,Drake Bulldogs,12,6,6,0.5,4.07,-0.33,,0,1,,3,4,,1,1,,962,834,,67.7,117.2,0.331,0.433,0.582,51.6,54.4,8.2,11.1,0.547,11.9,28.2,0.254
73,Drexel Dragons,11,4,7,0.364,-11.32,-7.52,,,,,3,2,,1,3,,783,787,,68.7,103.6,0.3,0.394,0.504,53.1,54.6,9.8,11.6,0.482,15.1,36.4,0.188
74,Duke Blue Devils,11,11,0,1,30.97,4.06,,,,,6,0,,2,0,,965,669,,70.9,123.7,0.403,0.463,0.611,57.7,62.5,11,13.7,0.584,13.6,37.9,0.288
75,Duquesne Dukes,11,6,5,0.545,-0.68,-2.18,,,,,6,1,,0,3,,920,884,,73.8,112,0.402,0.423,0.592,51,56.2,9.7,7.8,0.565,17.5,31,0.281
76,East Carolina Pirates,12,5,7,0.417,-7.84,-1.3,,,,,5,3,,0,2,,821,892,,69.8,98,0.428,0.322,0.5,51.5,46.8,10,9.9,0.449,16.6,33.9,0.305
77,East Tennessee State Buccaneers,12,8,4,0.667,4.79,-3.31,,,,,7,0,,1,4,,946,797,,69.3,113.7,0.282,0.413,0.573,52,54.3,14.2,12.5,0.55,14.2,32,0.199
78,Texas A&M Commerce Lions,11,6,5,0.545,-8.98,0.47,,1,1,,3,0,,2,5,,850,805,,73.1,105.8,0.289,0.468,0.566,48.4,65.8,11,8.9,0.543,17,26.2,0.202
79,Eastern Illinois Panthers,11,3,8,0.273,-10.91,5.79,,1,1,,3,2,,0,6,,685,840,,67,92,0.321,0.318,0.502,45.1,50,9.7,9,0.459,18.6,25.4,0.24
80,Eastern Kentucky Colonels,12,4,8,0.333,-7.78,1.32,,,,,2,4,,2,4,,971,945,,73.6,110,0.305,0.504,0.534,52.1,50,10.9,11.1,0.5,14.9,36.1,0.223
81,Eastern Michigan Eagles,11,6,5,0.545,-4.25,-1.55,,,,,4,1,,2,4,,791,780,,69.4,103.6,0.298,0.313,0.531,51.4,53.6,10,9.4,0.499,15.5,31.1,0.215
82,Eastern Washington Eagles,11,2,9,0.182,-6.16,1.94,,,,,2,1,,0,7,,852,915,,71,106.7,0.327,0.36,0.563,48.5,45.5,9.3,7,0.535,16.7,29.3,0.231
83,Elon Phoenix,11,7,4,0.636,-0.4,-3.2,,,,,4,2,,3,2,,938,862,,69.8,120.8,0.354,0.447,0.58,52.6,52.8,10.6,10.9,0.551,12.5,37,0.254
84,Evansville Purple Aces,12,4,8,0.333,-6.49,5.01,,0,1,,3,3,,0,3,,837,881,,69.2,100.8,0.368,0.432,0.527,48.7,58.6,8.4,12,0.489,16.2,28.3,0.26
85,Fairfield Stags,12,7,5,0.583,-9.29,-8.54,,0,2,,4,1,,3,4,,891,900,,68.8,106.9,0.252,0.363,0.511,52.7,42.1,8.8,9.4,0.483,12.7,34.9,0.178
